ticker,exchange
ADANIENT.NS,NSE
ADANIPORTS.NS,NSE
APOLLOHOSP.NS,NSE
ASIANPAINT.NS,NSE
AXISBANK.NS,NSE
BAJAJ-AUTO.NS,NSE
BAJAJFINSV.NS,NSE
BAJFINANCE.NS,NSE
BHARTIARTL.NS,NSE
BPCL.NS,NSE
BRITANNIA.NS,NSE
CIPLA.NS,NSE
COALINDIA.NS,NSE
DIVISLAB.NS,NSE
DRREDDY.NS,NSE
EICHERMOT.NS,NSE
GRASIM.NS,NSE
HCLTECH.NS,NSE
HDFCBANK.NS,NSE
HDFCLIFE.NS,NSE
HEROMOTOCO.NS,NSE
HINDALCO.NS,NSE
HINDUNILVR.NS,NSE
ICICIBANK.NS,NSE
INDUSINDBK.NS,NSE
INFY.NS,NSE
ITC.NS,NSE
JSWSTEEL.NS,NSE
KOTAKBANK.NS,NSE
LT.NS,NSE
MARUTI.NS,NSE
M&M.NS,NSE
NESTLEIND.NS,NSE
NTPC.NS,NSE
ONGC.NS,NSE
POWERGRID.NS,NSE
RELIANCE.NS,NSE
SBILIFE.NS,NSE
SHRIRAMFIN.NS,NSE
SBIN.NS,NSE
SUNPHARMA.NS,NSE
TATACONSUM.NS,NSE
TATAMOTORS.NS,NSE
TATASTEEL.NS,NSE
TECHM.NS,NSE
TCS.NS,NSE
TIINDIA.NS,NSE
ULTRACEMCO.NS,NSE
WIPRO.NS,NSE
ADANIENT.BO,BSE
ADANIPORTS.BO,BSE
APOLLOHOSP.BO,BSE
ASIANPAINT.BO,BSE
AXISBANK.BO,BSE
BAJAJ-AUTO.BO,BSE
BAJAJFINSV.BO,BSE
BAJFINANCE.BO,BSE
BHARTIARTL.BO,BSE
BPCL.BO,BSE
BRITANNIA.BO,BSE
CIPLA.BO,BSE
COALINDIA.BO,BSE
DIVISLAB.BO,BSE
DRREDDY.BO,BSE
EICHERMOT.BO,BSE
GRASIM.BO,BSE
HCLTECH.BO,BSE
HDFCBANK.BO,BSE
HDFCLIFE.BO,BSE
HEROMOTOCO.BO,BSE
HINDALCO.BO,BSE
HINDUNILVR.BO,BSE
ICICIBANK.BO,BSE
INDUSINDBK.BO,BSE
INFY.BO,BSE
ITC.BO,BSE
JSWSTEEL.BO,BSE
KOTAKBANK.BO,BSE
LT.BO,BSE
MARUTI.BO,BSE
M&M.BO,BSE
NESTLEIND.BO,BSE
NTPC.BO,BSE
ONGC.BO,BSE
POWERGRID.BO,BSE
RELIANCE.BO,BSE
SBILIFE.BO,BSE
SHRIRAMFIN.BO,BSE
SBIN.BO,BSE
SUNPHARMA.BO,BSE
TATACONSUM.BO,BSE
TATAMOTORS.BO,BSE
TATASTEEL.BO,BSE
TECHM.BO,BSE
TCS.BO,BSE
TIINDIA.BO,BSE
ULTRACEMCO.BO,BSE
WIPRO.BO,BSE
